Município;Ano
Arneiroz (CE);7619
Assaré (CE);22212
Aurora (CE);24267
Baixio (CE);5832
Banabuiú (CE);17654
Barbalha (CE);80217
Barreira (CE);23351
Barro (CE);19669
Barroquinha (CE);14977
Baturité (CE);36978
Beberibe (CE);55666
Bela Cruz (CE);34441
Boa Viagem (CE);52169
Brejo Santo (CE);53778
Camocim (CE);65031
Campos Sales (CE);26082
Canindé (CE);77207
Capistrano (CE);17760
Caridade (CE);16419
Cariré (CE);18075
Caririaçu (CE);27482
Cariús (CE);17333
Carnaubal (CE);17758
Cascavel (CE);76365
Catarina (CE);9577
Catunda (CE);10817
Caucaia (CE);375730
Cedro (CE);22678
Chaval (CE);12805
Choró (CE);12380
Chorozinho (CE);20763
Coreaú (CE);21438
Crateús (CE);79809
Crato (CE);138232
Croatá (CE);18007
Cruz (CE);31847
Deputado Irapuan Pinheiro (CE);9172
Ereré (CE);6393
Eusébio (CE);80304
Farias Brito (CE);18557
Forquilha (CE);25127
Fortaleza (CE);2574412
Fortim (CE);18052
Frecheirinha (CE);16362
General Sampaio (CE);6924
Graça (CE);14174
Granja (CE);55633
Granjeiro (CE);4960
Groaíras (CE);11313
Guaiúba (CE);25085
Guaraciaba do Norte (CE);44294
Guaramiranga (CE);5819
Hidrolândia (CE);18225
Horizonte (CE);79934
Ibaretama (CE);12191
Ibiapina (CE);24649
Ibicuitinga (CE);11979
Icapuí (CE);22367
Icó (CE);64802
Iguatu (CE);102251
Independência (CE);24530
Ipaporanga (CE);11937
Ipaumirim (CE);12441
Ipu (CE);42968
Ipueiras (CE);38285
Iracema (CE);14411
Irauçuba (CE);24751
